"aus","nzl","xoc","chn","hkg","jpn","kor","mng","twn","xea","brn","khm","idn","lao","mys","phl","sgp","tha","vnm","xse","bgd","ind","npl","pak","lka","xsa","can","usa","mex","xna","arg","bol","bra","chl","col","ecu","pry","per","ury","ven","xsm","cri","gtm","hnd","nic","pan","slv","xca","dom","jam","pri","tto","xcb","aut","bel","cyp","cze","dnk","est","fin","fra","deu","grc","hun","irl","ita","lva","ltu","lux","mlt","nld","pol","prt","svk","svn","esp","swe","gbr","che","nor","xef","alb","bgr","blr","hrv","rou","rus","ukr","xee","xer","kaz","kgz","tjk","xsu","arm","aze","geo","bhr","irn","isr","jor","kwt","omn","qat","sau","tur","are","xws","egy","mar","tun","xnf","ben","bfa","cmr","civ","gha","gin","nga","sen","tgo","xwf","xcf","xac","eth","ken","mdg","mwi","mus","moz","rwa","tza","uga","zmb","zwe","xec","bwa","nam","zaf","xsc","xtw"
"pdr",0.000463587849622855,0,1.14548071644453e-05,-0.000326224378877753,0,0.00410841463698272,0.0020495339070614,0,-0.000136075062741147,0.00102676177753518,3.54283031554969e-06,0.0104101787920458,0.0612653004520125,0.00525391403564274,-0.000681022898922965,0.0128626038070921,0,0.046144083847413,0.0226364313675882,0.0143570373010182,0.00333934228989579,0.0821488388565989,0.000764865218681292,-0.00410264449626447,0.00536006445783397,4.47263769622357e-05,0,0.0039807749469714,0.000175664476139218,0,0.000931200184499779,0.000952437685603079,0.0124123676886227,8.29046191867918e-05,0.00165927607653793,0.00157014907048546,0.000897374777724305,0.00190296427409285,0.00141917604474439,0.00219941101870581,0.00212259538140423,0.00015365175818597,4.66751945542814e-05,7.29040938478781e-05,0.000598515183794018,0.00131245975147328,3.38135476097941e-05,2.84198382296946e-05,0.00163408967301282,1.07270446940932e-08,9.71270620140261e-07,1.89250450954203e-05,0.00148551811750196,0,0,0,0,0,0,0,4.68360091418165e-05,0,0.00012897706897393,8.84894817680081e-06,0,0.000831142265234293,0,0,0,0,0,0,0.000201062368514866,0,0,0.000394320032712843,0,0,0,0,0,0,4.19023497803973e-05,0,0,2.44666868404544e-05,0.0011626348282652,4.75222191780831e-05,0,1.85881017764182e-05,0.000487311010796747,3.95387581510215e-05,-5.86104109679302e-06,-0.000231824963161337,0,1.82551949975016e-05,0,0,0.000160781794950171,0,0,0,0,0,0,0.000249938606465904,0,9.30818726710479e-05,-0.00392815662543018,1.62755499517865e-05,0,4.19950974782877e-07,0.000425348916915771,0.000918930337469957,0.0018259227010922,0,0.00156038378975362,0.00795988346552537,0.0164313561812364,0.00052326109392247,0.000700898684319333,0.00714338452610195,0.00164963832054789,0.00715565382894804,0.000316346228846416,0.000311005809976704,0.0113655978516386,0.000323994012447567,-4.5822168268676e-07,0.00104160080610483,0.000168546150832592,0.00751184585983334,0.00144684252976843,0.000254480044614535,2.71216357199923e-06,0.000586291700495248,0,0,8.12559566073137e-06,1.27693047920721e-07,0
"wht",0.0687517688153036,0.000523580863570281,1.31086864365195e-08,-0.000260028850864668,0,0.000594963456638084,2.52093487978225e-05,0.00154147219000668,-1.13032964621033e-06,7.56309737260687e-05,0,0,0,0,0,0,0,5.3208919926297e-06,0,0.00013869947710935,0.000123044631595371,0.0574060715935949,0.000362536109362975,-0.0126901077089171,0,0.000723355890864507,0.0614289073159364,0.0630252972951807,0.0027957956627114,0,0.0253964661391318,0.000961045909373574,0.0117186259893591,0.000891102894924488,2.30643694693521e-05,1.96871525453217e-05,0.00326900811885283,0.000574987713927408,0.00164979215201536,9.19753698731521e-07,0,0,1.77482050358689e-06,2.02052893510477e-05,0,0,0,0,0,0,0,0,0,0.000864340389040062,0.000189858507484215,-8.05375597631335e-06,0.00386775621190337,-0.000168143090230223,0.000647841136523192,0.00112530467163216,0.0146656098992198,0.00744483102211616,0.00173138149548175,0.00319618753882827,0.000636894357831797,0.00641310000892162,0.00169527754627213,0.00358840313133378,9.63462238041106e-05,-4.50525081759038e-06,0.000132694000789765,0.00644344342100367,0.000201583363458157,0.00145257373042594,0.0002195875357946,0.00755889266232708,0.00242557347913045,0.00181499822176896,0.000490972941955778,0.000534808056152977,0,0.000428845690424826,0.00459632312328067,0.00522065368753441,0.000379983268021153,0.00550144038866436,0.172328610130422,0.0238636378414415,0.00125632602833079,0.00397307901118771,0.055548740671672,0.000922940406540941,-0.000133749360199324,-0.00255681195448221,0.000425333879004645,0.00213236632532545,0.000412880391625699,0,0.00188471656970974,-2.17096073348176e-05,1.05331239741859e-05,-2.92091273228351e-08,-2.07611476063017e-06,-5.22120507426494e-09,-0.000134211627940847,0.0174886793843324,-2.87426651508033e-08,0.00391237087778443,-0.00769016888184826,0.00687384538070446,0.00228713297220892,0.00809369413944165,0,0,4.59862013608407e-06,0,0,0,0.000237293313310331,0,0,6.06623367236378e-05,7.78780911843292e-06,5.66926908889261e-05,0.0112059472625713,0.00089234103416743,3.20572136664711e-05,3.03115496918471e-06,0,9.71340599994922e-05,5.74112494271292e-05,0.000651989360025895,0.000228791910496871,0.000230094704075647,0.000184176769335456,0.00150326031310751,0,2.64447054110718e-05,0.00356974336623373,2.61697780781524e-05,0
"gro",0.0363304296352796,0.000887480717330583,1.44545115773355e-05,-0.000501194745444648,0,0.000349330145235015,0.000150908490002692,0.000106241558754327,-1.5187889445987e-05,0.00148195003423297,0,0.000562470661377599,0.0208576760786399,0.00113849988500024,-1.03516729516181e-05,0.00682369914812738,0,0.0058022023198617,0.00323440684661028,0.00215359416693795,0.000119326976663159,0.0465833386843319,0.000592366808284184,-0.00287790483229308,0.000389865831574986,8.17449921965936e-05,0.033267395747443,0.153216946195572,0.0387290420828166,0,0.0381652007807261,0.00493039047519803,0.115646498968218,0.00105303160949795,0.00110028599557076,0.00166987830982696,0.00622393506550214,0.00299549949244995,0.00249981651386529,0.00719807242485538,2.6846797743499e-05,2.03320859293961e-05,0.00392620880892389,0.00386473316605675,0.00320978107138571,0.000850088368719021,0.00324642217891908,0.000171857022769143,0.000248164912351533,2.34278656118995e-05,2.72880793277502e-06,9.28028137271722e-06,0.0042583786761101,0.00141745214445803,0.000103620244269025,-1.20376276684371e-05,0.00244027005026418,-0.000247418859616317,0.000614146360028148,0.00388151925336013,0.0104631730301359,0.00712240609775236,0.00163164757683893,0.00457286857849927,0.00195423904286234,0.00390441231194365,0.000708389252213535,0.00171283628462093,9.35546624376327e-05,-9.09611210202333e-07,4.85756867093329e-05,0.0140356709362316,0.0012405862123653,0.00133648973923062,0.000560318166722029,0.0140922761997651,0.00267712878460631,0.00140746528678293,0.000318931367195036,0.00148904011570264,0,0.000489360827208615,0.00230641231663591,0.0111004842400576,0.00114093779327519,0.00839867396411681,0.1035697342056,0.0287047412767409,0.00211687570614733,0.00845301592893917,0.0132365048894754,0.00109161916130238,-4.50009303721359e-05,-0.000207671224127797,0.000367083639648665,0.00128360171229346,0.000982991614741076,0,0.00050167976384593,-8.24819701888236e-06,5.05372990679063e-05,-4.47316921286846e-06,-8.85421601896314e-06,-3.83758572958473e-07,-0.000220599491071954,0.00757446701485265,-2.95474597750258e-07,0.00298855519747869,-0.00656869009580864,0.0044200233887909,0.00189489276878217,0.00502026543253588,0.00589007132504242,0.0214964049158779,0.0146673530254535,0,0.00837396774963067,0.00703968412688608,0.0493818971050687,0.00357221162274444,0.00878308810565689,0.0622124681258954,0.0271315219076304,0.0328967260894344,0.0560258475587851,0.0250055853082344,0.00255853620021298,0.00941146152771505,-4.82769272830694e-07,0.0151463681937685,0.00241625153298679,0.0338135826898047,0.0260084385891113,0.0130569989416847,0.0147516245704775,0.0667782613292888,0.00039801670931375,0.00365237931319747,0.020728089548383,0.00106972479453266,0
"v_f",0.015686000527805,0.00153788096036917,0.000786405392794313,-0.000523913275589848,-2.58898232579397e-06,0.00190863884544307,0.00135401875484708,0.000124667947664539,-0.00015985922014843,0.00233499610865923,2.33056620322899e-05,0.000756950739087057,0.0120569358472973,0.00141219264175535,-0.000147550614066602,0.00647300278175868,-1.38238603695e-06,0.00819772962424612,0.00664468611086004,0.0114049266456349,0.000636542867690515,0.101929425291053,0.000503485970785349,-0.00392627859006292,0.00203002677429891,0.000186595756619139,0.0337779100644517,0.0217792555057019,0.0173829128958535,2.19073882443919e-06,0.00581350419544245,0.00313510187075006,0.0369843950610151,0.00246013329772947,0.00441078145490281,0.00229773185869606,0.0012175837376957,0.00530640592729051,0.000425477848064649,0.0061865832919982,0.000540468906264508,0.000971643774847151,0.00266477236726654,0.00228450360405912,0.00248280800495086,0.000783707018539448,0.00137805616911398,0.000233154292183492,0.00236650600151806,0.000508461918500016,0.000600615251101973,0.000124211379309609,0.00950853664340503,0.000340575232353115,0.000173352831942878,-2.05859560491287e-05,0.000533473517188731,-2.45877022449e-05,0.000311465827850272,0.000257951336952263,0.00422561602396348,0.00169474165002297,0.00185363840002047,0.000917102810446692,0.000296640676574613,0.00683679502443434,0.000319917237223548,0.00131478038536523,2.01522203755232e-05,-1.57398410392855e-05,0.000320920067981288,0.00334380849180411,0.00291002767565079,0.000152500668896663,0.000234205281163565,0.0118132057932291,0.000481607609784928,0.000512911205068338,0.000319912625070552,0.000185436634700129,0.000360114169118207,0.000636344152986205,0.000822613726468012,0.00435253593556273,0.000337342700518892,0.00229392473918977,0.0330076843013733,0.00966840297559505,0.00116254652500768,0.00431374543479505,0.00643293436273709,0.00119740306974118,-0.000124046616504481,-0.000878648032939972,0.000697427406007173,0.00114026462564641,0.00133799402205653,-3.746365682717e-06,0.000918601291843187,-0.000102304101618081,6.13094631322829e-05,-4.04170867498544e-05,-0.000117674810372166,-5.48096002670962e-06,-0.000336020628960638,0.00876173074473885,-8.67821540365174e-05,0.003065137728204,-0.00900703381237053,0.00243066492901573,0.00273332694079231,0.00486549600037111,0.00384222366650512,0.00818755096575647,0.0133242178118834,0,0.00702907981194881,0.00268256177072053,0.0345160359465472,0.000882634051526374,0.00368048422696915,0.0271956456212575,0.00478288706893248,0.0199905309878847,0.0142370744670188,0.0243207376081328,0.00751670820108575,0.00499565299647849,-6.92242042058927e-05,0.00843882792508509,0.00675080086473504,0.0273390512918066,0.0285042008406422,0.00130391014440415,0.00098209529221763,0.0153208688831835,0.000117836023611073,0.000501172064098496,0.00435388150119328,0.000228990118649831,0
"osd",0.0187577070912901,4.04588109792349e-05,0.00159973165796709,-0.000259130304130913,0,0.000444527100762755,0.00032609757761406,1.62047675522431e-05,-1.20132360602037e-05,0.00036616627885228,9.24216604056442e-07,0.000676441553870964,0.0523254909378221,0.000208984157663638,-0.00528580015254384,0.00992649576167082,-1.233355572e-08,0.00487678009087232,0.0013423431222406,0.00686802001818676,0.00016007512912998,0.0750429990017882,0.000201050992692442,-0.00468073180142797,0.00297473526599182,2.38371957526546e-05,0.0784171065489326,0.1782486630172,0.00391221188221698,0,0.0906587710441508,0.00851811848326852,0.219585269222601,0.000318412816672278,0.000969756444239995,0.00137783321351656,0.023215277794323,0.000434970727682566,0.0103536520535344,0.00235518930276706,6.77254975552342e-05,0.000346987497559659,0.000921984789079338,0.00167856257475948,0.000591384021572345,0.00012424014916893,0.000111696376688311,3.39864631397406e-05,0.000802853409238762,0.000487576362480617,1.32740318085836e-05,1.75932826627796e-05,0.000837504676902526,0.000456294639688304,2.15415496542807e-05,-8.69554224018881e-06,0.0022290235553516,-5.10606365123778e-05,0.000281930900305233,0.000319695408513099,0.00593342352164309,0.00316668697992427,0.00515846917872614,0.00300684824145224,9.6009447971659e-05,0.00632274510774576,0.000430269636855998,0.000835127181096003,2.21898564094487e-05,-6.24242987393758e-08,5.9714359471238e-06,0.00260066570580594,0.00258230101652301,0.00113198801379991,6.18021030746866e-05,0.0126921806336297,0.0006104508792045,0.000595546291517939,0.000155732392140095,1.67684697714261e-05,0,0.000293941460531439,0.00436458312959869,0.00255555985459237,0.000652805692931666,0.00475235243986784,0.0734755539535312,0.0336635164621579,0.00167510137110772,0.0026552541316118,0.0120697191154138,0.000202676767655867,-8.71754418677868e-05,-0.0019713536648299,1.40216497548203e-06,0.000593177573684249,4.7331786071661e-05,0,0.00012147363983054,-2.37826809995129e-05,5.39741003646239e-05,-1.25181974240722e-07,0,0,-2.93683970918148e-06,0.00524101663010483,0,0.00179027634196657,-0.00167249096487285,0.00214736717778332,0.00664515447427781,0.00265942003841607,0.00385293898381224,0.00971670613213874,0.00688718431089634,0,0.00505923459359467,0.00484735088701276,0.0298997301035411,0.00310238909326197,0.00213089145592339,0.00953545587402866,0.0136000232150894,0.00760555604923507,0.00570969578894851,0.00248201996160826,0.00218516852613059,0.0032564042396872,-4.86860537854683e-06,0.00771446701731243,0.000527646631772499,0.0248413500070072,0.015322968935414,0.00596044322112596,0.00365564600007028,0.0434338092483734,3.12907744758126e-05,7.77785453266819e-06,0.0100311386116677,3.29119710083665e-05,0
"c_b",0.00255733519255117,0,9.28750434027405e-05,-1.63923851226503e-05,0,0.000225954397637111,0,0,-2.88368679068703e-06,0,0,0.000108029984211349,0.00195496378549026,0.000159848263210855,-1.6480471970315e-06,0.00116941826234388,0,0.00594804866492112,0.00082560575623926,0.000413752334282286,3.05843700607045e-05,0.0082338316413166,3.52096291251401e-05,-0.00172412906533148,0.000121191990434542,6.25315606632152e-07,5.19521993552215e-05,0.00338419528685363,0.00326326774481066,0,0.00172834586718196,0.0008376154434403,0.0629504021657842,6.48720626707365e-05,0.00110703139295351,0.000488105458462752,0.000756358741224771,0.000349231608604061,5.90199837608075e-05,0.00118178352964188,0.000373175937916993,0.000294286217833678,0.00120173871704884,0.000585635983134025,0.000651439161518274,0.000507269075388076,0.000725825443237236,0.000266503956329667,0.00107517513868901,0.000209177371534817,0,0,0.00338577912167407,0.00012505043628181,6.00250058835324e-05,0,0.00030726382572816,-9.86041988394082e-06,0,6.83406851531625e-05,0.00104094989421897,0.000945423336256368,2.71310986514739e-05,5.10720792492331e-05,1.24527105785023e-05,0.000134795753249121,0,7.57768180556723e-05,0,0,9.76329777354741e-05,0.000624222699196517,2.38963013989475e-06,8.69871901070771e-05,0,0.00013445226943454,0.00015926816590796,0.000112424555031448,0.00010791016924138,0,0,1.43903723125153e-05,0,0.000727001294520596,6.39019644791837e-05,7.55707085324001e-05,0.00735672814194998,0.00117346204206668,8.97375734521991e-05,0.000306919423925287,7.87112205860123e-05,6.39180372800146e-05,0,-2.07313595995419e-05,2.11427572707515e-05,4.92206991907945e-05,0,0,5.62883262087938e-05,0,0,0,-1.13974007311237e-07,0,0,0.000773350059580991,0,4.30814245525746e-05,-0.00213120198913132,0.000138909879096803,4.9183724567618e-06,0,3.33829078830919e-06,2.69969115293198e-05,0.000921678440774649,0,3.68573214732958e-05,2.65605713597995e-05,0.000297735444858705,1.21549442266236e-05,0,0.000157090317663396,0.000423976526101297,0.000362774267186053,0.000217626683378916,0.000704738332727667,0.00148739866460061,0.000137480605365114,-0.000408905574087598,0.000316546709051831,3.68546280483132e-05,0.000737102078096734,0.000846395250060624,0.000373326312618455,0.000382882390298144,0.000608363635000693,0,0,0.00192069765883981,0.000217731240196021,0
"pfb",0,9.79220497613366e-05,0,-7.55015221820657e-07,0,2.80246564596365e-09,2.44408207670367e-08,0,-1.38870420386894e-07,4.59123228216509e-05,0,9.48993068801935e-07,1.22352098001771e-05,3.79151947801614e-06,-2.18652784594167e-06,0.000386794357354824,0,1.58800804322519e-05,3.89091772340296e-05,2.93738979713591e-06,0.000219949844488945,0.00156940695675242,3.94486189803539e-06,-7.04377356112427e-07,0,2.91882628027089e-08,9.92408016471504e-05,0,9.43795016292734e-05,0,2.04718041540936e-05,0,0.000537984214323497,7.07680830160167e-05,4.86902119151848e-05,0.000143589058252605,0,7.79323679954886e-07,0,1.76152827952711e-05,0,5.20325515111375e-06,2.45114773432267e-06,0,5.13813900990491e-05,0,6.06499801117284e-05,0,1.69603719738814e-06,6.45768090584409e-06,0,0,0.000247806845710625,1.97460392779354e-06,1.53324638848011e-05,0,1.01335099330931e-06,0,0,0,0.000221096986772207,0,0,9.32311339409499e-07,0,2.52750912023002e-06,3.83220752402609e-07,4.41950414415446e-08,0,0,4.30812792660311e-06,7.27356456969133e-07,0,2.4490293501121e-07,0,1.02607346529493e-07,0,8.66378057422526e-06,0,0,0,0,8.03188609936693e-08,0.000334382591666448,0,6.52266328254829e-06,0.000368162372455843,1.10947543199225e-05,0,0,0,0,0,-1.7250298150014e-06,0,0,0,0,0,0,0,0,0,0,0,2.28244013027628e-08,0,0,-5.76302363023962e-05,8.09004311218842e-06,0,0,0,0,1.63656775431227e-06,0,0,9.3553995646047e-06,3.38149493638464e-06,0,0,7.80073721586161e-06,2.39946497785823e-05,6.40053167510113e-05,0.00218288946026963,0.000272692142422345,0.000356583955611067,2.97123098297348e-06,-1.16191926681286e-06,6.65899512887144e-05,0,0.000289881487285924,4.44457509221402e-08,0,3.44403048050487e-05,0,0,0,4.26829770275058e-05,0,0
"ocr",2.40016287284666e-05,1.88527351727437e-05,0.00112014162556273,-8.50604895798365e-05,-1.71559069781528e-07,0.000310927958488375,0.000108229385649943,0,-1.25384874461568e-05,0.000204843251009612,1.86768772069739e-05,0.00155670141836261,0.034730374491652,0.000978953844356473,-0.00111847864987026,0.0019692223945299,-1.02779631e-09,0.0204511831029888,0.00680820156111834,0.0013758831298912,0.000102431776983177,0.0101708100496859,5.6085816611771e-05,-0.000251778130088789,0.0033838496354889,1.48482409834016e-05,0.000148766027020454,0.0009088537682215,0.0033352665101272,8.57819419208116e-08,0.000673092115722114,0.000486706326690945,0.0269476828855824,1.12297607113599e-05,0.00342173895274228,0.00244005374833272,0.00122119887608596,0.00327476315078199,9.49428773934e-05,0.00472135566598202,7.78339163267209e-05,0.000476931466430343,0.00201648902361413,0.00469097351713181,0.00171426440571327,0.000296319518655205,0.00124637540510648,4.09984071138344e-06,0.00276227300189865,0.000248921072126432,0.000355253792061778,4.82168093375542e-05,0.00503464587591035,9.46286452043494e-07,2.28684991200268e-07,-8.35314596023464e-08,3.12418900276693e-05,-3.18170525324834e-08,0,0,2.62654149364519e-05,4.49325981472814e-05,7.44769528058844e-05,3.0702197819798e-05,4.18258981262673e-07,5.30208935670725e-05,0,3.0989563058811e-05,0,0,2.49381807753446e-07,3.9212594769047e-05,8.09278811912032e-06,2.92717317561018e-06,2.18991852873398e-05,8.64063794221044e-05,0,3.54491840189249e-07,2.77459123421788e-06,0,0,2.40448321615682e-05,0.000128895708122641,0,1.49277972619933e-05,0.000151685418973739,0.000362319419922991,5.53802239240653e-05,2.26961279522854e-06,0.0001715850983161,2.49950910801011e-06,3.50913866250658e-06,-1.28664987755894e-07,-8.25866327990722e-06,2.41571493903271e-06,1.37870902450267e-05,5.49541933016739e-05,0,9.4247080524709e-06,-1.43923066483054e-06,1.15200043465394e-08,-1.54391101563557e-07,-5.67635252099101e-07,0,0,0.000615083378507504,-1.95450123025463e-08,0.000258337649155894,-0.000360482482764019,6.76187861531169e-05,0.000105073610945329,3.02574677331063e-05,0.00264134807083027,0.000110759700125857,0.0114137413643773,0,0.0207480832876135,0.00163285051304638,0.0563693533543718,0.000111742191581861,0.00381989990578506,0.00320579353251075,0.00754744453826285,0.0317054653242874,0.0158274378623185,0.00541150109359465,0.0114212425731753,0.00301751227499062,-8.00251438692235e-06,0.00910131986540464,0.00232513425535908,0.0132315540646264,0.031073891191207,0.00272901560337789,0.00179233955539471,0.00532684462148866,3.50332061269797e-05,0.000545094810101677,0.000298483118529368,3.96505155657829e-05,0
"ctl",0.110844615896926,0.0433598084318612,0.00162275892651683,0.42451658852205,0.000185789072303818,0.0168650235084903,0.00854914980455911,0.018685831331553,0.0011805545715992,0.00121070028824257,2.37964184764573e-05,0.0039550535265425,0.033223775001559,0.0022220104472705,0.00175666704652055,0.0104024947076783,1.73187765e-06,0.0058349470149515,0.0124566480477623,0.0157711472333112,0.0103881309049043,0.20143623119122,0.0093955606096733,0.0850289626620521,0.00178884793426665,0.0152064286396084,0.018523252886868,0.251392269471168,0.080104998410435,2.26715445e-06,0.0954343299057,0.02917089683156,0.44806853537725,0.0084137980029335,0.069289449197635,0.0094966833850995,0.031208604055139,0.0136906006681535,0.021706166615001,0.028130933891922,0.00221233145245881,0.0063578120176555,0.0074966133910445,0.0073487872910495,0.010749072867394,0.0056743717085705,0.0029072627009935,9.2200910719914e-05,0.0037810676207005,0.0005696488995178,0.0004562444243798,2.70026037713375e-05,0.00985329888048467,0.00445183643508944,0.00430779443924209,0.000393179559440884,0.0025762544956578,0.00337371486314674,0.00064125986463352,0.00174450677502319,0.0255153713555552,0.0248875218216712,0.0037928589551424,0.00159352894989225,0.00961215869465533,0.0133338337376812,0.00112550293207115,0.00128751972015515,0.000284680516896848,3.1420269e-05,0.00988666186437698,0.0147001197221125,0.0037539436283732,0.00096382625069045,0.00135684696840525,0.0135338003082288,0.002621942717533,0.0191871992355028,0.00308172703445368,0.00160260449357905,0.000961652565255785,0.002042370785061,0.002530599538504,0.008243901169825,0.00142225690142605,0.009697661810497,0.10624191761785,0.0181446314565905,0.00067976963794425,0.00828451709311112,0.047582952510485,0.0066446762958995,0.00308899269465685,0.036395970123451,0.0030922524205742,0.00688662368775275,0.0022424873416171,0.00028158048585,0.027514401836878,0.00479771268496472,0.0014114867484312,0.000734406173309152,0.00132076883451584,0.000225071690245588,0.005896890407964,0.0591305887207305,0.00156632332304828,0.0200867954031573,0.0196599158777155,0.0117186511642603,0.00409143298570685,0.0210900429192606,0.00197025903546855,0.012501300162773,0.0057507707227455,0.015318463243118,0.010793850458194,0.01133400422384,0.054243321265235,0.0053615371060755,0.0019393475579975,0.0573286492996927,0.0504368373775596,0.067493496070607,0.04782925394521,0.03272398717243,0.08745092954003,0.0030731811641456,3.699752985e-05,0.031298240805509,0.0021738137208949,0.032469231153905,0.018515000711566,0.018275252723609,0.006652659326435,0.0712697128069587,0.00362398397194652,0.00262486393404868,0.07506962016391,0.0057875226127882,0
"oap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
