"aus","nzl","xoc","chn","hkg","jpn","kor","mng","twn","xea","brn","khm","idn","lao","mys","phl","sgp","tha","vnm","xse","bgd","ind","npl","pak","lka","xsa","can","usa","mex","xna","arg","bol","bra","chl","col","ecu","pry","per","ury","ven","xsm","cri","gtm","hnd","nic","pan","slv","xca","dom","jam","pri","tto","xcb","aut","bel","cyp","cze","dnk","est","fin","fra","deu","grc","hun","irl","ita","lva","ltu","lux","mlt","nld","pol","prt","svk","svn","esp","swe","gbr","che","nor","xef","alb","bgr","blr","hrv","rou","rus","ukr","xee","xer","kaz","kgz","tjk","xsu","arm","aze","geo","bhr","irn","isr","jor","kwt","omn","qat","sau","tur","are","xws","egy","mar","tun","xnf","ben","bfa","cmr","civ","gha","gin","nga","sen","tgo","xwf","xcf","xac","eth","ken","mdg","mwi","mus","moz","rwa","tza","uga","zmb","zwe","xec","bwa","nam","zaf","xsc","xtw"
"pdr",0.000698388675439422,0,2.70153915769509e-05,0.0842568693992052,0,0.00871055243780241,0.00366476811303199,0,0.000601003977961369,0.00177598397698811,3.71335409091859e-06,0.0189625986902489,0.115735059209912,0.00845213697817214,0.00491295424752581,0.023016791801224,0,0.0778663965478056,0.0450535770437693,0.0275213588603202,0.0348781135634795,0.151696538144206,0.00411648814000183,0.00170496336099865,0.00706388731021737,9.92607989457526e-05,0,0.00774651734541403,0.000268696017798549,0,0.00172632512521935,0.00118118597991723,0.0187205591558938,0.000192996652798893,0.0036542749005185,0.00264734451766972,0.00125859222431061,0.00332276149619633,0.0016350000321492,0.00265109039850314,0.00299815767516124,0.000289826253076837,7.56643453709377e-05,8.88051319677645e-05,0.000717579752750304,0.00158327836129305,4.17813984867179e-05,4.08046356277834e-05,0.00217433308645324,1.39161202854198e-08,1.08377090883296e-06,2.04707555186202e-05,0.00180017099777872,0,0,0,0,0,0,0,0.000125635245966742,0,0.000192162209213615,1.79841159099389e-05,0,0.000838116661287652,0,0,0,0,0,0,0.000227181360741976,0,0,0.000456248714764082,0,0,0,0,0,0,7.96133719559909e-05,0,0,5.64741533063162e-05,0.00160879906681944,7.25188709116298e-05,0,2.51358454620164e-05,0.000543958041092849,6.24233282192943e-05,1.74071069196139e-06,0.000122923745380277,0,1.68406618018162e-05,0,0,0.000664327875984535,0,0,0,0,0,0,0.000426380437539742,0,0.000153360505831976,-0.00090441248354683,2.39989979167745e-05,0,2.54772975012961e-07,0.00051108678925541,0.00108667647542313,0.00217730787955767,0,0.00191608181485681,0.00969152731155414,0.0209088511119357,0.000709101350953809,0.000725861511509554,0.00913248037945462,0.00180820793481334,0.00852622359074036,0.000398096068136028,0.00035680553509826,0.0128509149043434,0.000440793900891772,-1.05988706303608e-07,0.00123256888676184,0.000191506182507871,0.00912269563384428,0.00156999026730782,0.000319611753230004,3.47651586125668e-06,0.000627817803181801,0,0,1.23589828396946e-05,1.71617258408985e-07,0
"wht",0.103573587608259,0.000705945443061469,3.09159545034723e-08,0.067159962117791,0,0.00126142584075406,4.50767939511787e-05,0.00140566104627006,4.99233731806068e-06,0.000130818462899885,0,0,0,0,0,0,0,8.97880402732009e-06,0,0.000265876448130038,0.00128515266229081,0.10600639583486,0.00195116153547694,0.00527371277490171,0,0.00160533645973498,0.0729288307772237,0.122646109162348,0.00427644323803778,0,0.047081775022754,0.00119186165285983,0.0176742452820404,0.00207443056498871,5.0795372536194e-05,3.31934568118878e-05,0.00458487167427437,0.00100398471092407,0.00190068753737345,1.1086378030104e-06,0,0,2.877130622319e-06,2.46122445607886e-05,0,0,0,0,0,0,0,0,0,0.00211722879059765,0.00114198466588682,6.25100862911132e-06,0.006692208438257,0.00212849437446851,0.000977385662900397,0.00146518308602326,0.0393397631587641,0.0217802792002839,0.00257957554633681,0.00649575588191217,0.00102759032177429,0.006466914501654,0.00287356072340007,0.00581902174812766,0.000144821373569847,-1.20650559223084e-06,0.000707001459867722,0.0141785172459303,0.000227770035495142,0.00255266210540556,0.000347432661527247,0.00874603057445439,0.00380208914763732,0.00918845255729374,0.000900110252018292,0.000695292787869494,0,0.00053682525129327,0.00873289408258566,0.00750316716344037,0.000715736425536562,0.0126984577005041,0.238460177197507,0.0364158934922699,0.00238066581233361,0.00537261422574579,0.0620059540857374,0.00145712750269739,3.97231374933286e-05,0.00135573364227945,0.000285989513596485,0.00196713648511025,0.000417854525444424,0,0.0077873851077242,4.0934777808991e-05,1.5377921602174e-05,-3.16462795977659e-09,-1.20216085484277e-08,-7.46332165044933e-10,0.000124163518447347,0.0298346496898676,-1.82165641065926e-09,0.00644597234243159,-0.00177057215394645,0.010135780447385,0.00170512434363964,0.00491022680877605,0,0,5.48359021518227e-06,0,0,0,0.000301955024475057,0,0,7.75539378954308e-05,8.5364034451413e-06,6.75514173874973e-05,0.0141017756438472,0.00102375007145395,3.62466216274564e-05,4.12388677488488e-06,0,0.000114942710776073,6.52320397498553e-05,0.00079180278709195,0.000248265492151616,0.000288985220393019,0.00023608216940903,0.00160973383486126,0,3.05581822252074e-05,0.00542955850222867,3.51717312733614e-05,0
"gro",0.0547312891219424,0.00119659256438877,3.40899924991621e-05,0.129448020886024,0,0.000740640567479201,0.000269839215756437,9.68811643856655e-05,6.70804906497798e-05,0.00256332050245662,0,0.00102456505693176,0.0394018205759612,0.00183154062140608,7.46778055144412e-05,0.0122105652138674,0,0.00979099700370967,0.00643748105380699,0.00412827776825432,0.00124632322234155,0.0860210723848176,0.00318810540899842,0.00119599012294834,0.000513793877296539,0.000181415839742603,0.0394952861913399,0.298157456054722,0.0592398623188787,0,0.070753363362144,0.00611452926826791,0.174420157331542,0.00245139025928865,0.00242319379749964,0.00281549266359096,0.00872923607004003,0.00523043470174086,0.00287998102537942,0.00867629584964662,3.79209968199042e-05,3.8351479681872e-05,0.0063647087527691,0.00470766620524775,0.00384831324242602,0.00102549927178254,0.00401141164715438,0.000246748877931453,0.000330210262468548,3.03928067033568e-05,3.04488017243546e-06,1.00382519654271e-05,0.0051603610215024,0.00347209331832093,0.000623267988349227,9.34313314815313e-06,0.00422229192515915,0.00313203266402252,0.000926550991243651,0.00505386363485739,0.0280669369854582,0.0208370066326578,0.00243098254222839,0.00929364676044249,0.00315304587359704,0.00393717555712819,0.00120074706145656,0.00277756740990434,0.000140625280193942,-2.43593765652308e-07,0.00025881412281771,0.0308848839704042,0.00140174447324311,0.00234866336911999,0.000886538624616642,0.0163054939410739,0.0041964023709676,0.00712531167167671,0.00058470308396001,0.0019358699656541,0,0.00061257756555536,0.00438212326064146,0.015953708832892,0.00214907025293781,0.0193858696157854,0.143314897928293,0.0438034137126269,0.00401135812594788,0.0114306293689081,0.0147751704990677,0.0017234355448437,1.33651341721266e-05,0.000110116375429897,0.000246822735583691,0.00118413976558042,0.000994834104560355,0,0.00207287057619601,1.55524743992597e-05,7.37823484235548e-05,-4.84640167554357e-07,-5.12697664896347e-08,-5.48554141308025e-08,0.000204083725079768,0.0129215914483535,-1.87266279015772e-08,0.00492390541402023,-0.00151236467628099,0.0065175144565879,0.00141269783082033,0.00304566017560307,0.0070773370338625,0.0254204661395438,0.0174899755041499,0,0.0102828595302174,0.00857114193642628,0.0628383149148627,0.00484091043076155,0.00909590180538713,0.0795357078204524,0.0297395087067603,0.0391976538757596,0.0705039845376791,0.028687988970425,0.00289289938090489,0.0128042947724712,-1.1166667271273e-07,0.0179233177179389,0.00274540299363285,0.0410646103400952,0.0282221420870958,0.0163988116631909,0.0189089837088127,0.0715080586892841,0.000689951707574455,0.00422050731416117,0.0315273013480295,0.00143769171054471,0
"v_f",0.0236307425668469,0.00207352890734113,0.00185468417927689,0.135315737559962,-5.5844112335861e-07,0.0040466457787397,0.00242111864561712,0.000113684099451523,0.000706051684177963,0.00403882942084516,2.44274119111297e-05,0.0013788190750924,0.022776517439428,0.00227183877899571,0.00106444205804239,0.011583016906292,-3.32532723664948e-07,0.0138333587426729,0.0132250032156546,0.0218623851431998,0.00664843927335928,0.188223487597586,0.00270975065511355,0.00163166980400712,0.00267531864274752,0.000414110087600914,0.0401013723787922,0.0423820443990389,0.0265888674563504,3.30157607066957e-06,0.0107774875104342,0.0038880636826098,0.055780538649311,0.00572703302371039,0.0097140000933144,0.00387408301131137,0.00170769388972248,0.00926550305669512,0.000490183228388532,0.00745708347619684,0.000763410216426143,0.00183276701753418,0.00431981609626288,0.00278277437289907,0.00297672106332437,0.000945420507298708,0.00170278240553954,0.00033475827204606,0.00314889224463664,0.000659624101528898,0.000670183286766897,0.000134356392053877,0.0115225736361653,0.000834249673445582,0.00104270426693036,1.59780094256736e-05,0.000923045760311809,0.000311251481328903,0.000469902600285651,0.000335860985426609,0.0113350030939692,0.00495806368206301,0.00276172542037781,0.00186386934524538,0.000478611695243111,0.00689416488544436,0.000542272036602955,0.00213207250591386,3.0291506195399e-05,-4.21512741545415e-06,0.00170988104370367,0.0073579052798989,0.00328805460730597,0.000267995125058034,0.000370560942286396,0.0136684913604919,0.000754920468226454,0.00259661977480147,0.000586502043124862,0.000241082297153934,0.000430186169964686,0.00079656999583561,0.00156294463018491,0.00625550106634865,0.000635418659110014,0.00529485084102008,0.0456744718211786,0.0147539757072657,0.00220295902888379,0.00583328195184762,0.00718072503371537,0.00189044594035418,3.68414532648704e-05,0.000465897656607533,0.000468942011108105,0.00105190938402542,0.0013541133666642,-7.90112087081e-07,0.0037955319834311,0.000192900571811275,8.95092585856031e-05,-4.37894091691372e-06,-6.81388395829935e-07,-7.83462190255918e-07,0.000310863553350472,0.0149469929490736,-5.50009076757528e-06,0.0050500818145685,-0.00207376502426102,0.00358411990627832,0.00203777496214824,0.00295176571877017,0.00461670332101518,0.00968214745234304,0.0158883639561538,0,0.00863139702635517,0.00326614337740849,0.0439215514909658,0.00119610841624682,0.00381156635594103,0.0347683509315806,0.00524263666867745,0.0238194497630394,0.0179162033565181,0.0279022883749477,0.00849903178995613,0.00679658662573523,-1.60118652737236e-05,0.00998601064844994,0.00767042199474693,0.0332016721997464,0.0309303306866146,0.00163763334739527,0.00125887313579074,0.0164060215025245,0.000204265709960824,0.000579129433390971,0.00662222795792775,0.000307758777829713,0
"osd",0.0282582259660692,5.45507202988947e-05,0.00377285942378574,0.066927886467726,0,0.000942474643713655,0.000583094527033447,1.47770492777755e-05,5.3058969916522e-05,0.00063335571929461,9.68701067196153e-07,0.0012321680520285,0.0988470430602062,0.000336199396270651,0.0381321896107789,0.017762817675853,-2.96683470927835e-09,0.00822938198725548,0.00267168257641683,0.013165476944674,0.00167192160844892,0.138574851683566,0.00108205211420248,0.00194520296149527,0.00392032500019361,5.29016489985897e-05,0.0930973403797302,0.346868732408529,0.00598411116828636,0,0.168069677047044,0.0105639269422017,0.331182504850587,0.000741244678870774,0.00213572453909919,0.00232309101895564,0.0325600505412493,0.000759501376664106,0.0119282040470457,0.00283885990118257,9.5662000435056e-05,0.000654506576882157,0.00149461349168069,0.00204467215899707,0.000709029965272211,0.000149876397780715,0.000138016598488622,4.87970843987843e-05,0.00106828331401243,0.000632529415333185,1.48115357540505e-05,1.90302208710136e-05,0.00101489952367543,0.00111770797754388,0.000129570803597902,6.74913788524095e-06,0.00385678140734126,0.000646367789628279,0.000425343814018627,0.000416253764016902,0.0159161110697822,0.00926432397965289,0.00768557419881145,0.00611095310057779,0.000154905406715229,0.00637580140192113,0.000729323603477099,0.001354257883351,3.33543480756213e-05,-1.67172192114329e-08,3.18161628031097e-05,0.00572265187282817,0.00291775464057418,0.00198928484391153,9.77836427806376e-05,0.014685510806559,0.000956882437476664,0.00301496099536201,0.000285507226076948,2.18003374510597e-05,0,0.000367953326659257,0.00829259413733739,0.00367287200661642,0.00122962470337725,0.0109694084043689,0.101671995161939,0.0513705009356263,0.00317422108311148,0.00359057951787455,0.0134727527617877,0.000319983706657741,2.58908308659952e-05,0.00104529802418811,9.42799290426976e-07,0.000547214253707261,4.79020108693868e-05,0,0.000501912080044527,4.4843683600662e-05,7.87999349470494e-05,-1.35626912561854e-08,0,0,2.71696541501286e-06,0.00894086350042127,0,0.00294963645986478,-0.000385071638299207,0.00316638519612757,0.00495415649156315,0.00161339869575646,0.00462957853216667,0.0114904422477401,0.00821257146269705,0,0.00621251480920079,0.00590187453291688,0.0380473162486677,0.00420422676703416,0.00220678412966552,0.0121906308361986,0.0149073100356948,0.0090622985624808,0.00718518900042512,0.00284753027794733,0.00247073802430069,0.00443033844004918,-1.12613000447583e-06,0.00912884472415891,0.000599524769119488,0.0301683606767658,0.0166271806363823,0.00748596107336252,0.00468589410815501,0.0465101564342411,5.42417511017e-05,8.98770065447277e-06,0.0152573023739457,4.42331225173558e-05,0
"c_b",0.00385259005220567,0,0.000219039537657101,0.00423380698025082,0,0.000479062558937718,0,0,1.27364059033683e-05,0,0,0.00019678136927667,0.00369308316122877,0.000257152935357416,1.18891457094672e-05,0.00209259781896394,0,0.0100371071957984,0.00164321362950189,0.000793132053106135,0.000319441686308241,0.0152046428535687,0.000189497465916145,0.000716507825306229,0.000159715721716619,1.38775664212559e-06,6.16780164393159e-05,0.00658558392250363,0.00499148756374721,0,0.00320413048155484,0.00103878671886798,0.0949429437795385,0.000151018014176065,0.0024380493942857,0.000822968553620526,0.00106081344620466,0.000609792500112728,6.7995563837005e-05,0.00142447907275934,0.000527109552886686,0.000555098573904094,0.00194811771436035,0.000713368454668781,0.00078103206921318,0.000611941165825097,0.000896859519907627,0.000382641053179267,0.00143063683492547,0.000271364345565686,0,0,0.00410293304936036,0.000306314951065387,0.000361045903062622,0,0.000531645081709327,0.000124821354384106,0,8.89817828876711e-05,0.0027922958935989,0.00276589007392602,4.04224711938025e-05,0.000103796086792301,2.00916913660346e-05,0.000135926870037179,0,0.000122881107872062,0,0,0.000520194261830843,0.00137357492377583,2.70005486785654e-06,0.000152865840260607,0,0.000155568244160944,0.000249653028602474,0.000569150800144869,0.000197833813904848,0,0,1.80137410853238e-05,0,0.00104485234365388,0.000120365730520927,0.000174432762676683,0.0101798923289383,0.00179070219825883,0.000170047558023829,0.000415033191762719,8.78609356517339e-05,0.000100913048533882,0,1.09926745336201e-05,1.42161421095843e-05,4.54067540135585e-05,0,0,0.000232575486575465,0,0,0,-6.59959134520789e-10,0,0,0.00131928933044008,0,7.09804054404247e-05,-0.000490684529087258,0.000204828586987172,3.66679012939575e-06,0,4.01119234761263e-06,3.19250627297419e-05,0.00109904856887791,0,4.52591496291206e-05,3.23387275528399e-05,0.000378867454313085,1.64718674328652e-05,0,0.000200832565938616,0.000464730789241329,0.000432258824830545,0.000273865527939301,0.000808520387230021,0.00168177986913911,0.000187042383524474,-9.45816717876819e-05,0.000374582683209706,4.18751130798012e-05,0.000895167184607247,0.000918436027107545,0.000468875575228747,0.000490787766862516,0.000651453057478384,0,0,0.00292136975515052,0.000292627038988281,0
"pfb",0,0.00013202855492631,0,0.000195004490952511,0,5.94171380477654e-09,4.37025902790702e-08,0,6.1335025971995e-07,7.94142823209675e-05,0,1.7286326280264e-06,2.31132912141406e-05,6.09953679603358e-06,1.57737886421169e-05,0.000692143311466648,0,2.67970352220591e-05,7.74414299567134e-05,5.63075494091576e-06,0.00229728940263697,0.00289807629167301,2.12311618054819e-05,2.92722800033555e-07,0,6.47772183309582e-08,0.000117819377647361,0,0.000144362689639649,0,3.7952086412833e-05,0,0.000811397596480449,0.000164743572566357,0.000107231956043042,0.000242097844916637,0,1.36077526629477e-06,0,2.12328240098297e-05,0,9.81466116661558e-06,3.97351292257162e-06,0,6.16028568724358e-05,0,7.49415889897828e-05,0,2.2567609691439e-06,8.37750441182271e-06,0,0,0.000300295695786897,4.83685402066514e-06,9.22236189398153e-05,0,1.75335664835075e-06,0,0,0,0.000593081580275617,0,0,1.89477832360327e-06,0,2.5487183047106e-06,6.4957393255015e-07,7.16675072157131e-08,0,0,2.29539596008642e-05,1.60051627604254e-06,0,4.3037708077125e-07,0,1.18722017893334e-07,0,4.38605040039568e-05,0,0,0,0,1.52603741529597e-07,0.000480577458682705,0,1.50556505090442e-05,0.000509445671887168,1.69305867915734e-05,0,0,0,0,0,9.14686334297166e-07,0,0,0,0,0,0,0,0,0,0,0,3.89370747947347e-08,0,0,-1.32686932094855e-05,1.19291162738691e-05,0,0,0,0,1.95151298834428e-06,0,0,1.13906328884783e-05,4.30294209320162e-06,0,0,9.97287480588873e-06,2.63011082988722e-05,7.62646789043328e-05,0.00274698931761506,0.000312849672491276,0.000403184252129011,4.04236018295964e-06,-2.68757076698434e-07,7.87986161765658e-05,0,0.000352044041869391,4.82287428902964e-08,0,4.41464029520194e-05,0,0,0,6.49205550775023e-05,0,0
"ocr",3.61581212917885e-05,2.54191919729254e-05,0.00264177861763988,0.0219693285529909,-3.70051346803898e-08,0.000659221263212348,0.000193524781442451,0,5.53788525315172e-05,0.000354316200258786,1.95758340662556e-05,0.00283560012432315,0.0656084589240225,0.00157487388101067,0.0080687953992992,0.00352379522412184,-2.47236225773196e-10,0.0345105981220686,0.0135504500944681,0.00263746430225621,0.00106985952321759,0.0187814787906246,0.000301852657521451,0.000104633118295528,0.00445948601697844,3.29525520074192e-05,0.000176616073507138,0.00176861329107017,0.00510161672561392,1.29278581080435e-07,0.00124782603171661,0.000603599267557691,0.0406429864332989,2.61421649394689e-05,0.00753580127378324,0.00411404435087865,0.00171276421839756,0.00571805632650046,0.000109381502150782,0.00569095115353585,0.000109940102417652,0.000899613916051949,0.0032688952531736,0.00571411700302348,0.00205528859034548,0.00035746336707767,0.00154007228303116,5.88646933905334e-06,0.00367550305288394,0.000322923571223166,0.000396402111940284,5.21549360046622e-05,0.00610105214007132,2.31795823245525e-06,1.37552304992643e-06,6.48338335941921e-08,5.40564680438781e-05,4.02766579553366e-07,0,0,7.04556585077073e-05,0.000131452887236086,0.000110962792847849,6.23974593645708e-05,6.74835435195055e-07,5.34658098302775e-05,0,5.0253256059658e-05,0,0,1.32872097530228e-06,8.62856107928713e-05,9.14408116585136e-06,5.1440308225516e-06,3.46490168584783e-05,9.997665928239e-05,0,1.79461964009643e-06,5.08671212130575e-06,0,0,3.0099108736878e-05,0.000244898484406698,0,2.81179966398909e-05,0.00035012119382228,0.000501360470623803,8.45101802749702e-05,4.30078615501935e-06,0.000232026732300873,2.79006229689729e-06,5.54018701497848e-06,3.82130949380843e-08,4.37910485720318e-06,1.6242984029828e-06,1.27187753447383e-05,5.5616248262207e-05,0,3.894157472376e-05,2.71375647528355e-06,1.68187257770769e-08,-1.6727319215962e-08,-3.28685529741726e-09,0,0,0.00104929576010591,-1.23872635924829e-09,0.000425633814760095,-8.29969088811549e-05,9.97068063955247e-05,7.83354418278371e-05,1.83563928496839e-05,0.00317376640950502,0.000130978329525032,0.0136102305935661,0,0.0254777224305873,0.00198807123388328,0.071729831887435,0.000151428302102998,0.00395594738791817,0.00409845591109638,0.00827293409207289,0.0377782230478694,0.0199175466849498,0.00620841631070973,0.0129138315753957,0.00410532588745657,-1.85101704937372e-06,0.0107699644900584,0.002641873355532,0.0160689453360295,0.0337187397618076,0.00342748077912679,0.00229746352964039,0.00570413649950843,6.07291599159064e-05,0.000629884367330782,0.000453991054178417,5.328961041111e-05,0
"ctl",0.145732610054716,0.053251636280364,0.00199844750413186,0.5363426326916,0.000206944118405048,0.0189029265881555,0.00951404335152667,0.019828114928617,0.0016813810995532,0.00135973924695062,2.67350764234973e-05,0.005889172811036,0.04682983037028,0.003167698573803,0.0022182863236087,0.01247554698358,1.9243085e-06,0.0074911964128,0.014586013378199,0.0178920738058827,0.0119174967420575,0.228675694350851,0.011660187206759,0.0947118367824828,0.0024635300820665,0.0172121619635074,0.023554298272316,0.37440609428392,0.10191003449641,2.5190605e-06,0.13839977599631,0.04315951405862,0.6621021783111,0.012958189136521,0.12015017451955,0.014241303140776,0.05172710746341,0.021604848051629,0.03250263959735,0.0476282468211,0.00377444034616639,0.008450745858981,0.010383032191181,0.01064291449286,0.016100827690706,0.008192158032404,0.003994607975606,0.00015660538235957,0.005775901872489,0.0008322892700722,0.0006051565041438,3.3684894303446e-05,0.0146427212952177,0.0055974933312696,0.00483013335510341,0.000436937823035556,0.0031041012247442,0.00378225792978685,0.0008756648062722,0.00194426282837214,0.0288708668511529,0.0285206729624376,0.0052746436571984,0.0021147103902828,0.0115192152023584,0.0148966248168504,0.001641256048379,0.001661858416769,0.000350171757650576,3.491141e-05,0.0110189647190782,0.019328153523232,0.004874098604064,0.0013944998706788,0.0020124124962624,0.016831352920004,0.00304685371749624,0.0242554316624683,0.0035717873881628,0.00182964945996712,0.00155599712630455,0.0025893763289546,0.004341439858969,0.011477013619413,0.0018356620040035,0.015055903101439,0.16740404788523,0.024639206857003,0.0011177050216662,0.0116428091367021,0.06206504250641,0.009026905944269,0.0036238057866973,0.0401411853178452,0.0033439647930403,0.0076476325833532,0.003219873751072,0.0003128672065,0.0302188519643806,0.00533075630892348,0.0015114954326956,0.00081599659201802,0.001483966925316,0.000249829763063464,0.00680526875145,0.068527333671909,0.0017436275965152,0.0232073607337019,0.0218442440004715,0.0134070052577376,0.00452939189718208,0.0184358891479944,0.0024974122446752,0.01693945882463,0.008305525265444,0.02799091546235,0.01798022421766,0.01997525491418,0.07626726166259,0.006730827984097,0.002864022948725,0.0784179380742615,0.0813616308301858,0.12088950487796,0.07203788759696,0.04650264043923,0.12838488757336,0.004665495650796,4.11083665e-05,0.0602690548492,0.0029175127452647,0.05472371164231,0.02784543199647,0.03041885038497,0.010384476214071,0.0981554350359084,0.00549217145991367,0.00392360424616586,0.10211400026702,0.0074489811604743,0
"oap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
