93 tjk,6.666628,7.099021,7.753925,8.29584,8.880268
94 xsu,30.561226,31.726234,34.446072,36.064888,38.146268
95 arm,3.025982,2.988117,2.967984,3.006154,2.944809
96 aze,8.3065,8.5813,9.173082,9.535079,9.854033
97 geo,4.245,4.082,3.875,3.727,3.728004
98 bhr,0.807989,1.026568,1.306014,1.36193,1.494074
99 irn,69.321953,71.720856,75.184319,78.143646,80.67395
100 isr,6.809,7.1801,7.7658,8.2157,8.7133
101 jor,5.171633,5.759424,6.181,7.416083,9.779173
102 kwt,2.166344,2.538591,3.239181,3.753121,4.056097
103 omn,2.448194,2.59375,3.210003,4.236057,4.665935
104 qat,0.732096,1.178955,1.905437,2.172065,2.724724
105 sau,24.055573,26.083523,28.788439,30.886545,33.099148
106 tur,66.973564,69.515495,73.199371,77.523788,81.101891
107 are,3.975945,6.0101,8.734722,9.086139,9.487203
108 xws,71.023956,77.130157,85.431732,90.13623,93.722283
109 egy,73.596069,77.605324,83.787636,89.579674,96.442596
110 mar,30.093109,31.011322,32.531963,33.921204,35.581295
111 tun,9.9324,10.2251,10.6738,10.9966,11.433443
112 xnf,38.787857,40.746006,43.530785,45.748112,48.522522
113 ben,7.922796,8.707637,9.779391,10.598482,11.175204
114 bfa,13.028039,14.264002,16.106852,17.589197,19.193283
115 cmr,17.667576,19.0781,21.119064,22.773014,24.566046
116 civ,17.802517,18.862171,20.604172,22.157106,24.437469
117 gha,20.840492,22.528042,24.928503,26.786598,29.121471
118 gin,9.464771,10.152521,11.316351,12.275527,12.067539
119 nga,136.033325,147.152496,163.770676,177.475983,190.873306
120 sen,10.967016,11.89723,13.357003,14.672557,15.419381
121 tgo,5.428552,5.890414,6.566179,7.115163,7.698475
122 xwf,39.893806,44.081173,50.179073,55.131931,61.17217
123 xcf,19.214443,20.964037,23.509712,25.591232,25.985504
124 xac,71.610352,79.018784,90.029678,99.104553,111.422602
125 eth,74.506973,80.891968,89.858696,96.958733,106.400024
126 ken,34.437462,37.250542,41.419952,44.863583,50.221474
127 mdg,17.763367,19.371031,21.678867,23.571712,25.570539
128 mwi,12.407618,13.498377,15.226813,16.695253,17.670259
129 mus,1.221003,1.23963,1.252404,1.260934,1.264613
130 moz,20.523159,22.359636,25.01692,27.216276,28.649008
131 rwa,8.828956,9.481083,10.556429,11.341544,11.980937
132 tza,37.935333,41.522003,47.122997,51.82262,54.663906
133 uga,27.114742,29.991959,34.260342,37.78297,41.162464
134 zmb,11.725635,12.738676,14.343526,15.721343,16.853687
135 zwe,12.867828,13.297798,14.255592,15.245855,14.236745
136 xec,52.793873,57.210381,63.164799,69.050201,82.677402
137 bwa,1.83575,1.930431,2.089706,2.219937,2.205128
138 nam,2.002745,2.083174,2.240161,2.402858,2.402603
139 zaf,46.641102,48.596783,51.553478,54.058647,57.00045
140 xsc,3.006817,3.090509,3.245408,3.378309,2.091412
141 xtw,0.006569,0.006569,0.006569,0.007469,0.002602
